,nodes,edges,density,avg_degree,std_degree,avg_clustering,n_components,isolated_nodes,isolated_percent,largest_component_size,largest_component_percent
crates,119461,829615,5.81336965721134e-05,13.889302785009333,206.34975177172595,0.2784247073995828,1,0,0.0,119461,1.0
npm,1845838,22979692,6.744616703590607e-06,24.89892612461115,897.3015321929267,0.23090587543097238,1,0,0.0,1845838,1.0
python,349793,1645588,1.344931374487993e-05,9.40892470689808,214.49120282572633,0.16664336515585537,1,0,0.0,349793,1.0
