,nodes,edges,density,avg_degree,std_degree,avg_clustering,n_components,isolated_nodes,isolated_percent,largest_component_size,largest_component_percent
crates,145269,830337,3.934698740654333e-05,11.431716333147472,187.19918749419116,0.229764838034102,25179,24724,0.17019460449235557,119461,0.8223433767699923
npm,2425767,23006281,3.909744989384146e-06,18.968252927836843,782.7992217879951,0.17678948976552486,561569,551461,0.22733469455227975,1845838,0.7609296358636258
npm_prod,2424918,7920337,1.3469445742638703e-06,6.532457592380443,205.835392165753,0.06431384115142529,870151,851558,0.3511698127524312,1518107,0.6260446745003336
python,532386,1649201,5.818635500636029e-06,6.195508522012224,173.91783756295763,0.1097639433981389,179304,177319,0.3330647312288452,349793,0.6570289226238105
